Network,Gene,Absolute distance
RBN4046,0,0.0
RBN4046,1,0.0
RBN4046,2,0.0
RBN4046,3,1.0
RBN4046,4,0.0
RBN4046,5,0.0
RBN4046,6,0.0
RBN4046,7,0.0
RBN4046,8,0.0
RBN4046,9,0.0
RBN3979,0,0.0
RBN3979,1,0.0
RBN3979,2,0.0
RBN3979,3,1.0
RBN3979,4,0.0
RBN3979,5,0.0
RBN3979,6,0.0
RBN3979,7,0.0
RBN3979,8,0.0
RBN3979,9,0.0
RBN4045,0,0.0
RBN4045,1,0.0
RBN4045,2,0.0
RBN4045,3,1.0
RBN4045,4,0.0
RBN4045,5,0.0
RBN4045,6,0.0
RBN4045,7,0.0
RBN4045,8,0.0
RBN4045,9,0.0
RBN4041,0,0.0
RBN4041,1,0.0
RBN4041,2,0.0
RBN4041,3,1.0
RBN4041,4,0.0
RBN4041,5,0.0
RBN4041,6,0.0
RBN4041,7,0.0
RBN4041,8,0.0
RBN4041,9,0.0
RBN4039,0,0.0
RBN4039,1,0.0
RBN4039,2,0.0
RBN4039,3,1.0
RBN4039,4,0.0
RBN4039,5,0.0
RBN4039,6,0.0
RBN4039,7,0.0
RBN4039,8,0.0
RBN4039,9,0.0
RBN4048,0,0.0
RBN4048,1,0.0
RBN4048,2,0.0
RBN4048,3,1.0
RBN4048,4,0.0
RBN4048,5,0.0
RBN4048,6,0.0
RBN4048,7,0.0
RBN4048,8,0.0
RBN4048,9,0.0
RBN4000,0,0.0
RBN4000,1,0.0
RBN4000,2,0.0
RBN4000,3,1.0
RBN4000,4,0.0
RBN4000,5,0.0
RBN4000,6,0.0
RBN4000,7,0.0
RBN4000,8,0.0
RBN4000,9,0.0
RBN4052,0,0.0
RBN4052,1,0.0
RBN4052,2,0.0
RBN4052,3,1.0
RBN4052,4,0.0
RBN4052,5,0.0
RBN4052,6,0.0
RBN4052,7,0.0
RBN4052,8,0.0
RBN4052,9,0.0
RBN4029,0,0.0
RBN4029,1,0.0
RBN4029,2,0.0
RBN4029,3,1.0
RBN4029,4,0.0
RBN4029,5,0.0
RBN4029,6,0.0
RBN4029,7,0.0
RBN4029,8,0.0
RBN4029,9,0.0
RBN4030,0,0.0
RBN4030,1,0.0
RBN4030,2,0.0
RBN4030,3,1.0
RBN4030,4,0.0
RBN4030,5,0.0
RBN4030,6,0.0
RBN4030,7,0.0
RBN4030,8,0.0
RBN4030,9,0.0
