Network,Gene,Absolute distance
RBN167,0,0.0
RBN167,1,0.0
RBN167,2,0.0
RBN167,3,1.0
RBN167,4,0.0
RBN167,5,0.0
RBN167,6,0.0
RBN167,7,0.0
RBN167,8,0.0
RBN167,9,0.0
RBN161,0,0.0
RBN161,1,0.0
RBN161,2,0.0
RBN161,3,1.0
RBN161,4,0.0
RBN161,5,0.0
RBN161,6,0.0
RBN161,7,0.0
RBN161,8,0.0
RBN161,9,0.0
RBN132,0,0.0
RBN132,1,0.0
RBN132,2,0.0
RBN132,3,1.0
RBN132,4,0.0
RBN132,5,0.0
RBN132,6,0.0
RBN132,7,0.0
RBN132,8,0.0
RBN132,9,0.0
RBN168,0,0.0
RBN168,1,0.0
RBN168,2,0.0
RBN168,3,1.0
RBN168,4,0.0
RBN168,5,0.0
RBN168,6,0.0
RBN168,7,0.0
RBN168,8,0.0
RBN168,9,0.0
RBN171,0,0.0
RBN171,1,0.0
RBN171,2,0.0
RBN171,3,1.0
RBN171,4,0.0
RBN171,5,0.0
RBN171,6,0.0
RBN171,7,0.0
RBN171,8,0.0
RBN171,9,0.0
RBN169,0,0.0
RBN169,1,0.0
RBN169,2,0.0
RBN169,3,1.0
RBN169,4,0.0
RBN169,5,0.0
RBN169,6,0.0
RBN169,7,0.0
RBN169,8,0.0
RBN169,9,0.0
