Network,Gene,Absolute distance
RBN358,0,0.0
RBN358,1,0.0
RBN358,2,0.0
RBN358,3,1.0
RBN358,4,0.0
RBN358,5,0.0
RBN358,6,0.0
RBN358,7,0.0
RBN358,8,0.0
RBN358,9,0.0
RBN384,0,0.0
RBN384,1,0.0
RBN384,2,0.0
RBN384,3,1.0
RBN384,4,0.0
RBN384,5,0.0
RBN384,6,0.0
RBN384,7,0.0
RBN384,8,0.0
RBN384,9,0.0
RBN359,0,0.0
RBN359,1,0.0
RBN359,2,0.0
RBN359,3,1.0
RBN359,4,0.0
RBN359,5,0.0
RBN359,6,0.0
RBN359,7,0.0
RBN359,8,0.0
RBN359,9,0.0
RBN378,0,0.0
RBN378,1,0.0
RBN378,2,0.0
RBN378,3,1.0
RBN378,4,0.0
RBN378,5,0.0
RBN378,6,0.0
RBN378,7,0.0
RBN378,8,0.0
RBN378,9,0.0
RBN380,0,0.0
RBN380,1,0.0
RBN380,2,0.0
RBN380,3,1.0
RBN380,4,0.0
RBN380,5,0.0
RBN380,6,0.0
RBN380,7,0.0
RBN380,8,0.0
RBN380,9,0.0
RBN388,0,0.0
RBN388,1,0.0
RBN388,2,0.0
RBN388,3,1.0
RBN388,4,0.0
RBN388,5,0.0
RBN388,6,0.0
RBN388,7,0.0
RBN388,8,0.0
RBN388,9,0.0
RBN389,0,0.0
RBN389,1,0.0
RBN389,2,0.0
RBN389,3,1.0
RBN389,4,0.0
RBN389,5,0.0
RBN389,6,0.0
RBN389,7,0.0
RBN389,8,0.0
RBN389,9,0.0
RBN363,0,0.0
RBN363,1,0.0
RBN363,2,0.0
RBN363,3,1.0
RBN363,4,0.0
RBN363,5,0.0
RBN363,6,0.0
RBN363,7,0.0
RBN363,8,0.0
RBN363,9,0.0
RBN362,0,0.0
RBN362,1,0.0
RBN362,2,0.0
RBN362,3,1.0
RBN362,4,0.0
RBN362,5,0.0
RBN362,6,0.0
RBN362,7,0.0
RBN362,8,0.0
RBN362,9,0.0
