ID,Precision,Recall,Accuracy
0,0.6,0.5454545454545454,0.9
1,0.6666666666666666,0.5454545454545454,0.9111111111111111
2,0.6666666666666666,0.5454545454545454,0.9111111111111111
3,0.6,0.5454545454545454,0.9
4,0.5,0.5454545454545454,0.8777777777777778
5,0.6,0.5454545454545454,0.9
6,0.5454545454545454,0.5454545454545454,0.8888888888888888
7,0.5454545454545454,0.5454545454545454,0.8888888888888888
8,0.5,0.5454545454545454,0.8777777777777778
avg,0.5804713804713805,0.5454545454545454,0.8950617283950619
