Network,Gene,Absolute distance
RBN187,0,0.0
RBN187,1,0.0
RBN187,2,0.0
RBN187,3,1.0
RBN187,4,0.0
RBN187,5,0.0
RBN187,6,0.0
RBN187,7,0.0
RBN187,8,0.0
RBN187,9,0.0
RBN186,0,0.0
RBN186,1,0.0
RBN186,2,0.0
RBN186,3,1.0
RBN186,4,0.0
RBN186,5,0.0
RBN186,6,0.0
RBN186,7,0.0
RBN186,8,0.0
RBN186,9,0.0
RBN180,0,0.0
RBN180,1,0.0
RBN180,2,0.0
RBN180,3,1.0
RBN180,4,0.0
RBN180,5,0.0
RBN180,6,0.0
RBN180,7,0.0
RBN180,8,0.0
RBN180,9,0.0
RBN175,0,0.0
RBN175,1,0.0
RBN175,2,0.0
RBN175,3,1.0
RBN175,4,0.0
RBN175,5,0.0
RBN175,6,0.0
RBN175,7,0.0
RBN175,8,0.0
RBN175,9,0.0
