ID,Precision,Recall,Accuracy
0,0.5454545454545454,0.5454545454545454,0.8888888888888888
1,0.46153846153846156,0.5454545454545454,0.8666666666666667
2,0.46153846153846156,0.5454545454545454,0.8666666666666667
3,0.5,0.5454545454545454,0.8777777777777778
4,0.5,0.5454545454545454,0.8777777777777778
5,0.5,0.5454545454545454,0.8777777777777778
6,0.5454545454545454,0.5454545454545454,0.8888888888888888
7,0.5,0.5454545454545454,0.8777777777777778
8,0.5,0.5454545454545454,0.8777777777777778
avg,0.5015540015540015,0.5454545454545454,0.877777777777778
