ID,Precision,Recall,Accuracy
0,0.4375,0.6363636363636364,0.8555555555555555
1,0.4375,0.6363636363636364,0.8555555555555555
2,0.4375,0.6363636363636364,0.8555555555555555
3,0.5,0.6363636363636364,0.8777777777777778
4,0.42857142857142855,0.5454545454545454,0.8555555555555555
5,0.5,0.6363636363636364,0.8777777777777778
6,0.4666666666666667,0.6363636363636364,0.8666666666666667
7,0.42857142857142855,0.5454545454545454,0.8555555555555555
8,0.4666666666666667,0.6363636363636364,0.8666666666666667
9,0.4666666666666667,0.6363636363636364,0.8666666666666667
10,0.5384615384615384,0.6363636363636364,0.8888888888888888
11,0.5,0.6363636363636364,0.8777777777777778
avg,0.46734203296703297,0.6212121212121212,0.8666666666666667
