ID,Precision,Recall,Accuracy
0,0.5,0.5454545454545454,0.8777777777777778
1,0.5384615384615384,0.6363636363636364,0.8888888888888888
2,0.6,0.5454545454545454,0.9
3,0.6666666666666666,0.5454545454545454,0.9111111111111111
4,0.5454545454545454,0.5454545454545454,0.8888888888888888
5,0.5384615384615384,0.6363636363636364,0.8888888888888888
6,0.5,0.5454545454545454,0.8777777777777778
7,0.5454545454545454,0.5454545454545454,0.8888888888888888
8,0.5454545454545454,0.5454545454545454,0.8888888888888888
avg,0.5533281533281532,0.5656565656565655,0.8901234567901236
