Network,Gene,Absolute distance
RBN157,0,0.0
RBN157,1,0.0
RBN157,2,0.0
RBN157,3,1.0
RBN157,4,0.0
RBN157,5,0.0
RBN157,6,0.0
RBN157,7,0.0
RBN157,8,0.0
RBN157,9,0.0
RBN160,0,0.0
RBN160,1,0.0
RBN160,2,0.0
RBN160,3,1.0
RBN160,4,0.0
RBN160,5,0.0
RBN160,6,0.0
RBN160,7,0.0
RBN160,8,0.0
RBN160,9,0.0
RBN163,0,0.0
RBN163,1,0.0
RBN163,2,0.0
RBN163,3,1.0
RBN163,4,0.0
RBN163,5,0.0
RBN163,6,0.0
RBN163,7,0.0
RBN163,8,0.0
RBN163,9,0.0
RBN148,0,0.0
RBN148,1,0.0
RBN148,2,0.0
RBN148,3,1.0
RBN148,4,0.0
RBN148,5,0.0
RBN148,6,0.0
RBN148,7,0.0
RBN148,8,0.0
RBN148,9,0.0
RBN164,0,0.0
RBN164,1,0.0
RBN164,2,0.0
RBN164,3,1.0
RBN164,4,0.0
RBN164,5,0.0
RBN164,6,0.0
RBN164,7,0.0
RBN164,8,0.0
RBN164,9,0.0
