Network,Gene,Absolute distance
RBN220,0,0.0
RBN220,1,0.0
RBN220,2,0.0
RBN220,3,1.0
RBN220,4,0.0
RBN220,5,0.0
RBN220,6,0.0
RBN220,7,0.0
RBN220,8,0.0
RBN220,9,0.0
RBN221,0,0.0
RBN221,1,0.0
RBN221,2,0.0
RBN221,3,1.0
RBN221,4,0.0
RBN221,5,0.0
RBN221,6,0.0
RBN221,7,0.0
RBN221,8,0.0
RBN221,9,0.0
RBN214,0,0.0
RBN214,1,0.0
RBN214,2,0.0
RBN214,3,1.0
RBN214,4,0.0
RBN214,5,0.0
RBN214,6,0.0
RBN214,7,0.0
RBN214,8,0.0
RBN214,9,0.0
RBN210,0,0.0
RBN210,1,0.0
RBN210,2,0.0
RBN210,3,1.0
RBN210,4,0.0
RBN210,5,0.0
RBN210,6,0.0
RBN210,7,0.0
RBN210,8,0.0
RBN210,9,0.0
RBN224,0,0.0
RBN224,1,0.0
RBN224,2,0.0
RBN224,3,1.0
RBN224,4,0.0
RBN224,5,0.0
RBN224,6,0.0
RBN224,7,0.0
RBN224,8,0.0
RBN224,9,0.0
