Network,Gene,Absolute distance
RBN7,0,1.0
RBN7,1,0.0
RBN7,2,1.0
RBN6,0,1.0
RBN6,1,0.0
RBN6,2,1.0
RBN8,0,1.0
RBN8,1,0.0
RBN8,2,1.0
RBN10,0,1.0
RBN10,1,0.0
RBN10,2,1.0
RBN9,0,1.0
RBN9,1,0.0
RBN9,2,1.0
RBN2,0,1.0
RBN2,1,0.0
RBN2,2,1.0
RBN1,0,1.0
RBN1,1,0.0
RBN1,2,1.0
RBN3,0,1.0
RBN3,1,0.0
RBN3,2,1.0
RBN5,0,1.0
RBN5,1,0.0
RBN5,2,1.0
RBN4,0,1.0
RBN4,1,0.0
RBN4,2,1.0
RBN17,0,1.0
RBN17,1,0.0
RBN17,2,1.0
RBN16,0,1.0
RBN16,1,0.0
RBN16,2,1.0
RBN18,0,1.0
RBN18,1,0.0
RBN18,2,1.0
RBN20,0,1.0
RBN20,1,0.0
RBN20,2,1.0
RBN19,0,1.0
RBN19,1,0.0
RBN19,2,1.0
RBN12,0,1.0
RBN12,1,0.0
RBN12,2,1.0
RBN11,0,1.0
RBN11,1,0.0
RBN11,2,1.0
RBN13,0,1.0
RBN13,1,0.0
RBN13,2,1.0
RBN15,0,1.0
RBN15,1,0.0
RBN15,2,1.0
RBN14,0,1.0
RBN14,1,0.0
RBN14,2,1.0
