ID,Precision,Recall,Accuracy
0,0.6428571428571429,0.5294117647058824,0.8555555555555555
1,0.6923076923076923,0.5294117647058824,0.8666666666666667
2,0.6,0.5294117647058824,0.8444444444444444
3,0.6923076923076923,0.5294117647058824,0.8666666666666667
avg,0.656868131868132,0.5294117647058824,0.8583333333333334
