Network,Gene,Absolute distance
RBN187,0,0.0
RBN187,1,0.0
RBN187,2,0.0
RBN187,3,1.0
RBN187,4,0.0
RBN187,5,0.0
RBN187,6,0.0
RBN187,7,0.0
RBN187,8,0.0
RBN187,9,0.0
RBN156,0,0.0
RBN156,1,0.0
RBN156,2,0.0
RBN156,3,1.0
RBN156,4,0.0
RBN156,5,0.0
RBN156,6,0.0
RBN156,7,0.0
RBN156,8,0.0
RBN156,9,0.0
RBN193,0,0.0
RBN193,1,0.0
RBN193,2,0.0
RBN193,3,1.0
RBN193,4,0.0
RBN193,5,0.0
RBN193,6,0.0
RBN193,7,0.0
RBN193,8,0.0
RBN193,9,0.0
RBN194,0,0.0
RBN194,1,0.0
RBN194,2,0.0
RBN194,3,1.0
RBN194,4,0.0
RBN194,5,0.0
RBN194,6,0.0
RBN194,7,0.0
RBN194,8,0.0
RBN194,9,0.0
