Network,Gene,Absolute distance
RBN155,0,0.0
RBN155,1,0.0
RBN155,2,0.0
RBN155,3,1.0
RBN155,4,0.0
RBN155,5,0.0
RBN155,6,0.0
RBN155,7,0.0
RBN155,8,0.0
RBN155,9,0.0
RBN149,0,0.0
RBN149,1,0.0
RBN149,2,0.0
RBN149,3,1.0
RBN149,4,0.0
RBN149,5,0.0
RBN149,6,0.0
RBN149,7,0.0
RBN149,8,0.0
RBN149,9,0.0
RBN136,0,0.0
RBN136,1,0.0
RBN136,2,0.0
RBN136,3,1.0
RBN136,4,0.0
RBN136,5,0.0
RBN136,6,0.0
RBN136,7,0.0
RBN136,8,0.0
RBN136,9,0.0
RBN157,0,0.0
RBN157,1,0.0
RBN157,2,0.0
RBN157,3,1.0
RBN157,4,0.0
RBN157,5,0.0
RBN157,6,0.0
RBN157,7,0.0
RBN157,8,0.0
RBN157,9,0.0
