Target gene,Regulators
1
2,1-,3-,4+,5-,7-,9+,10+
3
4,1-,9-
5,1+
6,3+
7,1+
8
9
10,1-,7-

True Positive,9
True Positive cases,3 -> 2,5 -> 2,7 -> 2,1 -> 4,9 -> 4,1 -> 5,3 -> 6,1 -> 7,7 -> 10,
False Positive,5
False Positive cases,1 -> 2,4 -> 2,9 -> 2,10 -> 2,1 -> 10,
True Negative,68
True Negative cases,
False Negative,8
False Negative cases,2 -> 1,4 -> 1,8 -> 1,1 -> 3,6 -> 3,10 -> 3,8 -> 7,9 -> 7,
Precision,0.6428571428571429
True Positive rate (Recall),0.5294117647058824
Accuracy,0.8555555555555555
