Network,Gene,Absolute distance
RBN130,0,0.0
RBN130,1,0.0
RBN130,2,0.0
RBN130,3,8.0
RBN130,4,1.0
RBN130,5,0.0
RBN130,6,2.0
RBN130,7,2.0
RBN130,8,1.0
RBN130,9,0.0
RBN131,0,0.0
RBN131,1,0.0
RBN131,2,0.0
RBN131,3,8.0
RBN131,4,1.0
RBN131,5,0.0
RBN131,6,2.0
RBN131,7,2.0
RBN131,8,1.0
RBN131,9,0.0
RBN121,0,0.0
RBN121,1,0.0
RBN121,2,0.0
RBN121,3,8.0
RBN121,4,1.0
RBN121,5,0.0
RBN121,6,2.0
RBN121,7,2.0
RBN121,8,1.0
RBN121,9,0.0
RBN125,0,0.0
RBN125,1,0.0
RBN125,2,0.0
RBN125,3,8.0
RBN125,4,1.0
RBN125,5,0.0
RBN125,6,2.0
RBN125,7,2.0
RBN125,8,1.0
RBN125,9,0.0
RBN133,0,0.0
RBN133,1,0.0
RBN133,2,0.0
RBN133,3,3.0
RBN133,4,1.0
RBN133,5,0.0
RBN133,6,1.0
RBN133,7,8.0
RBN133,8,1.0
RBN133,9,0.0
