Target gene,Regulators
1
2,3-
3
4,1+
5
6
7,1-
8,5+
9,3-
10,5+

True Positive,6
True Positive cases,3 -> 2,1 -> 4,1 -> 7,5 -> 8,3 -> 9,5 -> 10,
False Positive,0
False Positive cases,
True Negative,73
True Negative cases,
False Negative,11
False Negative cases,2 -> 1,5 -> 1,6 -> 1,7 -> 1,1 -> 3,8 -> 3,9 -> 3,3 -> 4,2 -> 5,6 -> 5,10 -> 5,
Precision,1.0
True Positive rate (Recall),0.35294117647058826
Accuracy,0.8777777777777778
