Network,Gene,Absolute distance
RBN4103,0,0.0
RBN4103,1,0.0
RBN4103,2,0.0
RBN4103,3,1.0
RBN4103,4,0.0
RBN4103,5,0.0
RBN4103,6,0.0
RBN4103,7,0.0
RBN4103,8,0.0
RBN4103,9,0.0
RBN4087,0,0.0
RBN4087,1,0.0
RBN4087,2,0.0
RBN4087,3,1.0
RBN4087,4,0.0
RBN4087,5,0.0
RBN4087,6,0.0
RBN4087,7,0.0
RBN4087,8,0.0
RBN4087,9,0.0
RBN4105,0,0.0
RBN4105,1,0.0
RBN4105,2,0.0
RBN4105,3,1.0
RBN4105,4,0.0
RBN4105,5,0.0
RBN4105,6,0.0
RBN4105,7,0.0
RBN4105,8,0.0
RBN4105,9,0.0
RBN4102,0,0.0
RBN4102,1,0.0
RBN4102,2,0.0
RBN4102,3,1.0
RBN4102,4,0.0
RBN4102,5,0.0
RBN4102,6,0.0
RBN4102,7,0.0
RBN4102,8,0.0
RBN4102,9,0.0
RBN4113,0,0.0
RBN4113,1,0.0
RBN4113,2,0.0
RBN4113,3,1.0
RBN4113,4,0.0
RBN4113,5,0.0
RBN4113,6,0.0
RBN4113,7,0.0
RBN4113,8,0.0
RBN4113,9,0.0
RBN4072,0,0.0
RBN4072,1,0.0
RBN4072,2,0.0
RBN4072,3,1.0
RBN4072,4,0.0
RBN4072,5,0.0
RBN4072,6,0.0
RBN4072,7,0.0
RBN4072,8,0.0
RBN4072,9,0.0
RBN4091,0,0.0
RBN4091,1,0.0
RBN4091,2,0.0
RBN4091,3,1.0
RBN4091,4,0.0
RBN4091,5,0.0
RBN4091,6,0.0
RBN4091,7,0.0
RBN4091,8,0.0
RBN4091,9,0.0
RBN4115,0,0.0
RBN4115,1,0.0
RBN4115,2,0.0
RBN4115,3,1.0
RBN4115,4,0.0
RBN4115,5,0.0
RBN4115,6,0.0
RBN4115,7,0.0
RBN4115,8,0.0
RBN4115,9,0.0
RBN4090,0,0.0
RBN4090,1,0.0
RBN4090,2,0.0
RBN4090,3,1.0
RBN4090,4,0.0
RBN4090,5,0.0
RBN4090,6,0.0
RBN4090,7,0.0
RBN4090,8,0.0
RBN4090,9,0.0
