Network,Gene,Absolute distance
RBN317,0,0.0
RBN317,1,0.0
RBN317,2,0.0
RBN317,3,1.0
RBN317,4,0.0
RBN317,5,0.0
RBN317,6,0.0
RBN317,7,0.0
RBN317,8,0.0
RBN317,9,0.0
RBN384,0,0.0
RBN384,1,0.0
RBN384,2,0.0
RBN384,3,1.0
RBN384,4,0.0
RBN384,5,0.0
RBN384,6,0.0
RBN384,7,0.0
RBN384,8,0.0
RBN384,9,0.0
RBN318,0,0.0
RBN318,1,0.0
RBN318,2,0.0
RBN318,3,1.0
RBN318,4,0.0
RBN318,5,0.0
RBN318,6,0.0
RBN318,7,0.0
RBN318,8,0.0
RBN318,9,0.0
RBN377,0,0.0
RBN377,1,0.0
RBN377,2,0.0
RBN377,3,1.0
RBN377,4,0.0
RBN377,5,0.0
RBN377,6,0.0
RBN377,7,0.0
RBN377,8,0.0
RBN377,9,0.0
RBN375,0,0.0
RBN375,1,0.0
RBN375,2,0.0
RBN375,3,1.0
RBN375,4,0.0
RBN375,5,0.0
RBN375,6,0.0
RBN375,7,0.0
RBN375,8,0.0
RBN375,9,0.0
RBN350,0,0.0
RBN350,1,0.0
RBN350,2,0.0
RBN350,3,1.0
RBN350,4,0.0
RBN350,5,0.0
RBN350,6,0.0
RBN350,7,0.0
RBN350,8,0.0
RBN350,9,0.0
RBN365,0,0.0
RBN365,1,0.0
RBN365,2,0.0
RBN365,3,1.0
RBN365,4,0.0
RBN365,5,0.0
RBN365,6,0.0
RBN365,7,0.0
RBN365,8,0.0
RBN365,9,0.0
RBN389,0,0.0
RBN389,1,0.0
RBN389,2,0.0
RBN389,3,1.0
RBN389,4,0.0
RBN389,5,0.0
RBN389,6,0.0
RBN389,7,0.0
RBN389,8,0.0
RBN389,9,0.0
