Network,Gene,Absolute distance
RBN197,0,0.0
RBN197,1,0.0
RBN197,2,0.0
RBN197,3,1.0
RBN197,4,0.0
RBN197,5,0.0
RBN197,6,0.0
RBN197,7,0.0
RBN197,8,0.0
RBN197,9,0.0
RBN202,0,0.0
RBN202,1,0.0
RBN202,2,0.0
RBN202,3,1.0
RBN202,4,0.0
RBN202,5,0.0
RBN202,6,0.0
RBN202,7,0.0
RBN202,8,0.0
RBN202,9,0.0
RBN207,0,0.0
RBN207,1,0.0
RBN207,2,0.0
RBN207,3,1.0
RBN207,4,0.0
RBN207,5,0.0
RBN207,6,0.0
RBN207,7,0.0
RBN207,8,0.0
RBN207,9,0.0
RBN191,0,0.0
RBN191,1,0.0
RBN191,2,0.0
RBN191,3,1.0
RBN191,4,0.0
RBN191,5,0.0
RBN191,6,0.0
RBN191,7,0.0
RBN191,8,0.0
RBN191,9,0.0
