ID,Precision,Recall,Accuracy
0,0.6666666666666666,0.5454545454545454,0.9111111111111111
1,0.6666666666666666,0.5454545454545454,0.9111111111111111
2,0.6666666666666666,0.5454545454545454,0.9111111111111111
3,0.6,0.5454545454545454,0.9
4,0.5454545454545454,0.5454545454545454,0.8888888888888888
5,0.5454545454545454,0.5454545454545454,0.8888888888888888
6,0.6666666666666666,0.5454545454545454,0.9111111111111111
7,0.6,0.5454545454545454,0.9
8,0.5454545454545454,0.5454545454545454,0.8888888888888888
9,0.6,0.5454545454545454,0.9
10,0.6666666666666666,0.5454545454545454,0.9111111111111111
avg,0.615426997245179,0.5454545454545453,0.9020202020202022
