Network,Gene,Absolute distance
RBN394,0,0.0
RBN394,1,0.0
RBN394,2,0.0
RBN394,3,1.0
RBN394,4,0.0
RBN394,5,0.0
RBN394,6,0.0
RBN394,7,0.0
RBN394,8,0.0
RBN394,9,0.0
RBN383,0,0.0
RBN383,1,0.0
RBN383,2,0.0
RBN383,3,1.0
RBN383,4,0.0
RBN383,5,0.0
RBN383,6,0.0
RBN383,7,0.0
RBN383,8,0.0
RBN383,9,0.0
RBN399,0,0.0
RBN399,1,0.0
RBN399,2,0.0
RBN399,3,1.0
RBN399,4,0.0
RBN399,5,0.0
RBN399,6,0.0
RBN399,7,0.0
RBN399,8,0.0
RBN399,9,0.0
RBN390,0,0.0
RBN390,1,0.0
RBN390,2,0.0
RBN390,3,1.0
RBN390,4,0.0
RBN390,5,0.0
RBN390,6,0.0
RBN390,7,0.0
RBN390,8,0.0
RBN390,9,0.0
