Target gene,Regulators
1,2-
2
3,2-
4,1-,3+,9+
5,9+
6,2-
7,8-,10-
8
9
10

True Positive,7
True Positive cases,2 -> 1,2 -> 3,3 -> 4,9 -> 4,9 -> 5,8 -> 7,10 -> 7,
False Positive,2
False Positive cases,1 -> 4,2 -> 6,
True Negative,77
True Negative cases,
False Negative,4
False Negative cases,3 -> 5,8 -> 5,3 -> 6,3 -> 7,
Precision,0.7777777777777778
True Positive rate (Recall),0.6363636363636364
Accuracy,0.9333333333333333
