ID,Precision,Recall,Accuracy
0,0.5454545454545454,0.5454545454545454,0.8888888888888888
1,0.6,0.5454545454545454,0.9
2,0.5454545454545454,0.5454545454545454,0.8888888888888888
3,0.5384615384615384,0.6363636363636364,0.8888888888888888
4,0.6,0.5454545454545454,0.9
5,0.5,0.6363636363636364,0.8777777777777778
6,0.6,0.5454545454545454,0.9
7,0.5,0.6363636363636364,0.8777777777777778
8,0.5454545454545454,0.5454545454545454,0.8888888888888888
9,0.5454545454545454,0.5454545454545454,0.8888888888888888
10,0.5454545454545454,0.5454545454545454,0.8888888888888888
avg,0.551430387794024,0.5702479338842974,0.8898989898989901
