Network,Gene,Absolute distance
RBN4023,0,0.0
RBN4023,1,0.0
RBN4023,2,0.0
RBN4023,3,1.0
RBN4023,4,0.0
RBN4023,5,0.0
RBN4023,6,0.0
RBN4023,7,0.0
RBN4023,8,0.0
RBN4023,9,0.0
RBN4024,0,0.0
RBN4024,1,0.0
RBN4024,2,0.0
RBN4024,3,1.0
RBN4024,4,0.0
RBN4024,5,0.0
RBN4024,6,0.0
RBN4024,7,0.0
RBN4024,8,0.0
RBN4024,9,0.0
RBN4042,0,0.0
RBN4042,1,0.0
RBN4042,2,0.0
RBN4042,3,1.0
RBN4042,4,0.0
RBN4042,5,0.0
RBN4042,6,0.0
RBN4042,7,0.0
RBN4042,8,0.0
RBN4042,9,0.0
RBN4027,0,0.0
RBN4027,1,0.0
RBN4027,2,0.0
RBN4027,3,1.0
RBN4027,4,0.0
RBN4027,5,0.0
RBN4027,6,0.0
RBN4027,7,0.0
RBN4027,8,0.0
RBN4027,9,0.0
RBN4029,0,0.0
RBN4029,1,0.0
RBN4029,2,0.0
RBN4029,3,1.0
RBN4029,4,0.0
RBN4029,5,0.0
RBN4029,6,0.0
RBN4029,7,0.0
RBN4029,8,0.0
RBN4029,9,0.0
RBN4051,0,0.0
RBN4051,1,0.0
RBN4051,2,0.0
RBN4051,3,1.0
RBN4051,4,0.0
RBN4051,5,0.0
RBN4051,6,0.0
RBN4051,7,0.0
RBN4051,8,0.0
RBN4051,9,0.0
