Network,Gene,Absolute distance
RBN4125,0,0.0
RBN4125,1,0.0
RBN4125,2,0.0
RBN4125,3,1.0
RBN4125,4,0.0
RBN4125,5,0.0
RBN4125,6,0.0
RBN4125,7,0.0
RBN4125,8,0.0
RBN4125,9,0.0
RBN4086,0,0.0
RBN4086,1,0.0
RBN4086,2,0.0
RBN4086,3,1.0
RBN4086,4,0.0
RBN4086,5,0.0
RBN4086,6,0.0
RBN4086,7,0.0
RBN4086,8,0.0
RBN4086,9,0.0
RBN4127,0,0.0
RBN4127,1,0.0
RBN4127,2,0.0
RBN4127,3,1.0
RBN4127,4,0.0
RBN4127,5,0.0
RBN4127,6,0.0
RBN4127,7,0.0
RBN4127,8,0.0
RBN4127,9,0.0
RBN4122,0,0.0
RBN4122,1,0.0
RBN4122,2,0.0
RBN4122,3,1.0
RBN4122,4,0.0
RBN4122,5,0.0
RBN4122,6,0.0
RBN4122,7,0.0
RBN4122,8,0.0
RBN4122,9,0.0
RBN4120,0,0.0
RBN4120,1,0.0
RBN4120,2,0.0
RBN4120,3,1.0
RBN4120,4,0.0
RBN4120,5,0.0
RBN4120,6,0.0
RBN4120,7,0.0
RBN4120,8,0.0
RBN4120,9,0.0
RBN4124,0,0.0
RBN4124,1,0.0
RBN4124,2,0.0
RBN4124,3,1.0
RBN4124,4,0.0
RBN4124,5,0.0
RBN4124,6,0.0
RBN4124,7,0.0
RBN4124,8,0.0
RBN4124,9,0.0
RBN4131,0,0.0
RBN4131,1,0.0
RBN4131,2,0.0
RBN4131,3,1.0
RBN4131,4,0.0
RBN4131,5,0.0
RBN4131,6,0.0
RBN4131,7,0.0
RBN4131,8,0.0
RBN4131,9,0.0
RBN4104,0,0.0
RBN4104,1,0.0
RBN4104,2,0.0
RBN4104,3,1.0
RBN4104,4,0.0
RBN4104,5,0.0
RBN4104,6,0.0
RBN4104,7,0.0
RBN4104,8,0.0
RBN4104,9,0.0
RBN4133,0,0.0
RBN4133,1,0.0
RBN4133,2,0.0
RBN4133,3,1.0
RBN4133,4,0.0
RBN4133,5,0.0
RBN4133,6,0.0
RBN4133,7,0.0
RBN4133,8,0.0
RBN4133,9,0.0
RBN4128,0,0.0
RBN4128,1,0.0
RBN4128,2,0.0
RBN4128,3,1.0
RBN4128,4,0.0
RBN4128,5,0.0
RBN4128,6,0.0
RBN4128,7,0.0
RBN4128,8,0.0
RBN4128,9,0.0
RBN4091,0,0.0
RBN4091,1,0.0
RBN4091,2,0.0
RBN4091,3,1.0
RBN4091,4,0.0
RBN4091,5,0.0
RBN4091,6,0.0
RBN4091,7,0.0
RBN4091,8,0.0
RBN4091,9,0.0
RBN4110,0,0.0
RBN4110,1,0.0
RBN4110,2,0.0
RBN4110,3,1.0
RBN4110,4,0.0
RBN4110,5,0.0
RBN4110,6,0.0
RBN4110,7,0.0
RBN4110,8,0.0
RBN4110,9,0.0
