ID,Precision,Recall,Accuracy
0,0.46153846153846156,0.5454545454545454,0.8666666666666667
1,0.42857142857142855,0.5454545454545454,0.8555555555555555
2,0.5,0.6363636363636364,0.8777777777777778
3,0.42857142857142855,0.5454545454545454,0.8555555555555555
4,0.6,0.5454545454545454,0.9
5,0.42857142857142855,0.5454545454545454,0.8555555555555555
6,0.42857142857142855,0.5454545454545454,0.8555555555555555
7,0.5,0.5454545454545454,0.8777777777777778
8,0.4666666666666667,0.6363636363636364,0.8666666666666667
9,0.6,0.5454545454545454,0.9
10,0.46153846153846156,0.5454545454545454,0.8666666666666667
11,0.46153846153846156,0.5454545454545454,0.8666666666666667
avg,0.48046398046398037,0.5606060606060606,0.8703703703703706
