Network,Gene,Absolute distance
RBN233,0,0.0
RBN233,1,0.0
RBN233,2,0.0
RBN233,3,1.0
RBN233,4,0.0
RBN233,5,0.0
RBN233,6,0.0
RBN233,7,0.0
RBN233,8,0.0
RBN233,9,0.0
RBN229,0,0.0
RBN229,1,0.0
RBN229,2,0.0
RBN229,3,1.0
RBN229,4,0.0
RBN229,5,0.0
RBN229,6,0.0
RBN229,7,0.0
RBN229,8,0.0
RBN229,9,0.0
RBN221,0,0.0
RBN221,1,0.0
RBN221,2,0.0
RBN221,3,1.0
RBN221,4,0.0
RBN221,5,0.0
RBN221,6,0.0
RBN221,7,0.0
RBN221,8,0.0
RBN221,9,0.0
RBN234,0,0.0
RBN234,1,0.0
RBN234,2,0.0
RBN234,3,1.0
RBN234,4,0.0
RBN234,5,0.0
RBN234,6,0.0
RBN234,7,0.0
RBN234,8,0.0
RBN234,9,0.0
RBN236,0,0.0
RBN236,1,0.0
RBN236,2,0.0
RBN236,3,1.0
RBN236,4,0.0
RBN236,5,0.0
RBN236,6,0.0
RBN236,7,0.0
RBN236,8,0.0
RBN236,9,0.0
